Elapsed Time,ECG1,ECG2,ECG3,BioRadio Event,
00:00:00.035,-15.5107955932617,-15.499529838562,0.0185500737279654,0,
00:00:00.0355,-15.6549911499023,-15.6442136764526,0.0181212313473225,0,
00:00:00.036,-15.7854433059692,-15.775164604187,0.0176758375018835,0,
00:00:00.0365,-15.902195930481,-15.8924150466919,0.0172244273126125,0,
00:00:00.037,-16.0053310394287,-15.9960346221924,0.0167797859758139,0,
00:00:00.0375,-16.0949649810791,-16.0861263275146,0.0163569785654545,0,
00:00:00.038,-16.1712512969971,-16.1628246307373,0.0159732848405838,0,
00:00:00.0385,-16.2343788146973,-16.2262992858887,0.0156481172889471,0,
00:00:00.039,-16.2845649719238,-16.2767467498779,0.0154029978439212,0,
00:00:00.0395,-16.3220596313477,-16.3143939971924,0.0152615830302238,0,
00:00:00.04,-16.3471412658691,-16.3394927978516,0.0152497384697199,0,
